@relation data

@attribute Gender {Male,Female}
@attribute Education {'High School',Vocational}
@attribute Subject_1 {B,C+,D,A,D+,C,B+}
@attribute Subject_2 {C+,B,C,A,B+,D+,D}
@attribute Subject_3 {C,B+,C+,A,B,D+,D}
@attribute Label {CS,IT}

@data
Male,'High School',A,D+,A,IT
Male,'High School',C,C,C,CS
Male,'High School',?,D+,?,CS
Male,'High School',C,D+,?,IT
Male,'High School',?,A,D,CS
Female,'High School',C+,?,C+,CS
Male,'High School',B+,B+,B,CS
Male,'High School',?,?,?,CS
Female,'High School',B+,B+,C,CS
Male,'High School',A,B+,C+,CS
Male,'High School',B,C+,C+,CS
Male,'High School',D,D,?,CS
Male,'High School',C,C+,B+,CS
Male,'High School',B+,C+,D+,CS
Male,'High School',D+,C,A,CS
Male,'High School',C,C,B,CS
Male,'High School',A,D,C,CS
Female,Vocational,C,A,?,IT
Male,'High School',B,B,C,CS
Male,'High School',C+,B,B,IT
Male,'High School',B+,C,B,CS
Male,'High School',A,B+,D+,CS
Male,'High School',B,A,?,CS
Female,'High School',A,B,C,CS
Male,'High School',B+,B+,A,CS
Male,'High School',B+,?,B+,IT
Male,'High School',D+,?,C+,IT
Female,'High School',C+,B,C+,CS
Male,'High School',C+,C,B,CS
Male,'High School',C,C,C,CS
Female,'High School',C,D+,D+,IT
Male,'High School',B+,C+,B,CS
Female,'High School',B+,D+,C,CS
Female,Vocational,B,C+,C+,CS
Female,'High School',B,C,C,CS
Male,'High School',B,D+,A,CS
Female,'High School',C+,C,D+,CS
Female,'High School',D+,D,C,CS
Female,Vocational,C,B,?,IT
Male,'High School',B+,A,C,IT
Male,'High School',C+,B,C,CS
Male,'High School',A,B+,A,CS
Female,'High School',C,C+,C,IT
Female,'High School',A,C,B,CS
Male,Vocational,B,A,B,CS
Female,Vocational,B+,A,B,CS
Female,'High School',C+,B+,?,CS
Male,'High School',C,C,B,IT
Male,'High School',D,D,?,CS
Male,'High School',D,C+,A,CS
Male,Vocational,D+,C,D,IT
Male,Vocational,B,B,C,CS
Male,'High School',A,B+,D,CS
Female,'High School',D,C+,B,CS
Male,Vocational,B+,C,?,CS
Male,'High School',B,A,C,CS
Female,'High School',B,C,C,CS
Male,Vocational,C,C+,B,CS
Female,'High School',C+,C,B,IT
Female,'High School',B+,C,C,CS
Male,'High School',C+,B+,A,CS
Male,'High School',B,C+,C+,CS
Male,'High School',D+,B+,D+,CS
Male,Vocational,C+,D+,A,CS
Male,'High School',B,C+,B+,CS
Female,'High School',B+,D+,D,CS
Male,'High School',C+,B,B,CS
Female,Vocational,B,B+,?,CS
Female,'High School',C+,B,C,CS
Female,Vocational,D,D,C+,CS
Male,Vocational,A,C,C+,IT
Female,'High School',C+,C+,B+,IT
Male,Vocational,A,B,C,CS
Male,'High School',D+,D+,?,CS
Female,'High School',D,B+,?,CS
Male,Vocational,C+,C+,D,CS
Male,'High School',B+,B+,C+,CS
Male,'High School',B,A,B,CS
Female,'High School',C,D,?,CS
Female,'High School',A,B+,C+,CS
Male,'High School',C,C+,D+,CS
Male,'High School',C,D+,C,CS
Male,Vocational,A,A,D+,CS
Male,'High School',D+,D,?,CS
